,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Croatia,,,,,,,,,,,,,,,,,,,,,,,,
        Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Fossil fuels,4.809,5.59,6.854,7.734,6.264,5.997,6.276,7.802,6.939,5.882,5.498,5.955,5.331,4.672,3.499,3.728,4.0065,4.5661,3.6498,4.1782,4.6867,4.5743,5.1884,5.2727886
            Coal,1.551,1.638,2.109,2.404,2.139,2.328,2.257,2.423,2.495,1.658,2.385,2.582,2.238,2.421,2.368,2.31,2.3515,1.2657,1.336,1.5106,1.2154,1.457,1.5601,1.3267886
            Natural gas,1.571,1.819,2.527,2.061,2.459,1.814,2.058,3.064,2.459,2.211,2.553,2.621,2.511,2.021,1.002,1.197,1.586,3.0901,2.2453,2.6294,3.437,3.0883,3.5423,3.857
            Oil,1.687,2.133,2.218,3.269,1.666,1.855,1.961,2.315,1.985,2.013,0.56,0.752,0.582,0.23,0.129,0.221,0.069,0.2103,0.0685,0.0382,0.0343,0.029,0.086,0.089
        Renewables,5.795,6.482,5.311,4.827,6.894,6.283,5.964,4.232,5.206,6.72,9.177,5.203,5.157,9.112,9.732,7.46,8.237,6.9308,9.4162,7.9493,8.1909,10.1234,8.545,11.6546665
            Hydroelectricity,5.794,6.482,5.311,4.827,6.888,6.27,5.94,4.194,5.164,6.663,9.035,4.983,4.789,8.536,8.917,6.522,6.967,5.4378,7.6971,5.8541,5.7476,7.185,5.4678862,8.2270861
                Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0738,0.0763,0.0746,0.0602172,0.0165804
                    Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.011,0.035,0.057,0.066,0.0787,0.0749,0.0829,0.0953,0.1485,0.1588966,0.279
                Wind,0,0,0,0,0.002,0.01,0.019,0.035,0.04,0.054,0.139,0.201,0.329,0.517,0.73,0.792,1.01,1.1984,1.3296,1.4613,1.7128,2.0553,2.138,2.503
